GMDNR;CODE_ISO;GMDNAME;AREA_HA;ACODE;ACAT;ANAME;X_CNTR;Y_CNTR;E_CNTR;N_CNTR
1;CH;Aeugst am Albis;791;261;4;Zürich;679300;235700;2679300;1235700
10;CH;Obfelden;754;261;4;Zürich;675100;235300;2675100;1235300
100;CH;Stadel;1289;261;4;Zürich;677500;264700;2677500;1264700
101;CH;Steinmaur;939;261;4;Zürich;676600;261500;2676600;1261500
102;CH;Weiach;958;261;4;Zürich;675200;267800;2675200;1267800
1024;CH;Emmen;2037;1061;2;Luzern;664800;214100;2664800;1214100
1026;CH;Eschenbach (LU);1321;1061;4;Luzern;666900;220500;2666900;1220500
1033;CH;Inwil;1032;1061;4;Luzern;669200;219500;2669200;1219500
1037;CH;Rain;942;1061;4;Luzern;661900;220000;2661900;1220000
1040;CH;Rothenburg;1549;1061;2;Luzern;663000;216600;2663000;1216600
1051;CH;Adligenswil;699;1061;2;Luzern;670300;213700;2670300;1213700
1052;CH;Buchrain;480;1061;2;Luzern;669000;216500;2669000;1216500
1053;CH;Dierikon;278;1061;2;Luzern;670800;216700;2670800;1216700
1054;CH;Ebikon;968;1061;2;Luzern;668600;215000;2668600;1215000
1058;CH;Horw;1286;1061;2;Luzern;666300;207900;2666300;1207900
1059;CH;Kriens;2730;1061;2;Luzern;663800;209600;2663800;1209600
1061;CH;Luzern;2910;1061;1;Luzern;666200;211800;2666200;1211800
1062;CH;Malters;2857;1061;4;Luzern;656700;209800;2656700;1209800
1063;CH;Meggen;727;1061;2;Luzern;671000;211000;2671000;1211000
1064;CH;Meierskappel;680;1711;4;Zug;676200;219800;2676200;1219800
1066;CH;Schwarzenberg;3930;1061;4;Luzern;655900;207600;2655900;1207600
1067;CH;Udligenswil;622;1061;4;Luzern;673100;215900;2673100;1215900
1088;CH;Hildisrieden;704;1061;4;Luzern;660000;222500;2660000;1222500
1093;CH;Neuenkirch;2548;1061;4;Luzern;658100;216700;2658100;1216700
1095;CH;Oberkirch;910;91103;6;Sursee;651300;223000;2651300;1223000
1099;CH;Schenkon;674;91103;6;Sursee;653100;224800;2653100;1224800
11;CH;Ottenbach;502;261;4;Zürich;673000;237200;2673000;1237200
1103;CH;Sursee;583;91103;6;Sursee;650700;224700;2650700;1224700
111;CH;Bäretswil;2219;261;4;Zürich;707200;243800;2707200;1243800
112;CH;Bubikon;1161;261;4;Zürich;704400;236300;2704400;1236300
113;CH;Dürnten;1022;3336;2;Rapperswil-Jona – Rüti;706200;237200;2706200;1237200
1147;CH;Wikon;828;2581;2;Olten – Zofingen;640300;234700;2640300;1234700
115;CH;Gossau (ZH);1826;261;4;Zürich;699600;240400;2699600;1240400
116;CH;Grüningen;879;261;4;Zürich;700200;237900;2700200;1237900
117;CH;Hinwil;2228;261;4;Zürich;706400;239800;2706400;1239800
118;CH;Rüti (ZH);1006;3336;1;Rapperswil-Jona – Rüti;707000;235300;2707000;1235300
119;CH;Seegräben;377;261;4;Zürich;700800;244300;2700800;1244300
12;CH;Rifferswil;651;261;4;Zürich;680100;232800;2680100;1232800
1201;CH;Altdorf (UR);1021;1201;1;Altdorf (UR);691800;192900;2691800;1192900
1203;CH;Attinghausen;4689;1201;2;Altdorf (UR);690900;190700;2690900;1190700
1205;CH;Bürglen (UR);5306;1201;2;Altdorf (UR);693300;192300;2693300;1192300
1206;CH;Erstfeld;5909;1201;4;Altdorf (UR);692500;186300;2692500;1186300
1207;CH;Flüelen;1239;1201;2;Altdorf (UR);690400;195600;2690400;1195600
