date,entries,sumTotal,vaccine,geoRegion,type,type_variant,data_completeness,version
2021-01-27,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-28,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-29,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-30,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-31,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-01,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-02,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-03,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-04,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-05,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-06,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-07,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-08,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-09,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-10,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-11,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-12,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-13,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-14,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-15,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-16,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-17,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-18,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-19,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-20,1,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-21,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-22,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-23,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-24,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-25,2,3,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-26,2,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-27,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-28,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-01,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-02,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-03,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-04,1,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-05,0,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-06,0,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-07,0,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-08,2,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-09,1,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-10,2,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-11,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-12,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-13,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-14,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-15,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-16,2,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-17,5,18,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-18,1,19,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-19,5,24,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-20,0,24,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-21,2,26,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-22,5,31,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-23,3,34,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-24,2,36,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-25,2,38,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-26,0,38,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-27,0,38,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-28,0,38,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-29,3,41,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-30,3,44,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-31,7,51,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-01,5,56,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-02,1,57,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-03,1,58,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-04,2,60,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-05,4,64,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-06,5,69,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-07,6,75,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-08,4,79,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-09,3,82,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-10,3,85,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-11,1,86,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-12,2,88,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-13,5,93,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-14,3,96,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-15,3,99,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-16,5,104,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-17,5,109,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-18,1,110,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-19,6,116,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-20,5,121,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-21,5,126,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-22,1,127,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-23,3,130,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-24,1,131,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-25,3,134,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-26,7,141,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-27,7,148,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-28,1,149,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-29,4,153,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-30,3,156,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-01,3,159,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-02,2,161,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-03,1,162,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-04,6,168,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-05,1,169,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-06,2,171,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-07,3,174,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-08,1,175,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-09,5,180,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-10,3,183,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-11,3,186,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-12,4,190,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-13,2,192,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-14,5,197,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-15,0,197,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-16,4,201,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-17,3,204,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-18,6,210,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-19,4,214,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-20,2,216,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-21,3,219,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-22,2,221,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-23,2,223,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-24,2,225,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-25,5,230,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-26,7,237,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-27,2,239,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-28,3,242,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-29,0,242,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-30,3,245,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-31,4,249,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
