date,sex,entries,sumTotal,vaccine,geoRegion,type,type_variant,data_completeness,version
202104,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,female,1,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,male,2,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,female,2,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,male,1,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,female,0,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,male,3,6,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,female,2,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,male,5,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,female,10,15,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,male,6,17,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,female,6,21,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,male,10,27,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,female,12,33,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,male,10,37,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,female,16,49,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,male,9,46,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,female,15,64,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,male,9,55,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,female,15,79,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,male,9,64,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,female,18,97,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,male,9,73,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,female,10,107,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,male,8,81,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,female,13,120,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,male,7,88,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,female,15,135,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,male,5,93,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,female,16,151,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,unknown,1,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,male,13,106,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,female,5,156,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,male,5,111,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,female,7,163,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,male,5,116,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,female,3,166,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,male,2,118,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,female,3,169,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,male,1,119,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,female,2,171,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,male,15,134,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,female,9,180,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,male,20,154,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,female,22,202,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,male,31,185,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,female,41,243,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,male,44,229,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,female,54,297,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,male,69,298,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,female,82,379,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,male,110,408,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,female,133,512,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,male,126,534,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,female,169,681,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,unknown,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,male,115,649,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,female,141,822,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,unknown,1,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,male,94,743,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,female,126,948,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,unknown,1,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,male,96,839,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,female,118,1066,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,unknown,0,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,male,68,907,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,female,75,1141,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,unknown,0,3,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,all,1,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,all,4,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,all,1,6,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,all,5,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,all,15,26,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,all,12,38,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,all,22,60,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,all,26,86,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,all,24,110,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,all,24,134,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,all,27,161,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,all,19,180,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,all,21,201,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,all,22,223,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,all,22,245,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,all,18,263,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,all,12,275,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,all,8,283,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,all,5,288,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,all,3,291,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,all,24,315,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,all,42,357,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
