date,type,geoRegion,type_variant,entries,sumTotal,version
2021-06-07,COVID19Certificates,CH,all,265,265,2021-09-23_09-56-46
2021-06-07,COVID19Certificates,CH,recovered,14,14,2021-09-23_09-56-46
2021-06-07,COVID19Certificates,CH,tested,2,2,2021-09-23_09-56-46
2021-06-07,COVID19Certificates,CH,vaccinated,249,249,2021-09-23_09-56-46
2021-06-08,COVID19Certificates,CH,all,3537,3802,2021-09-23_09-56-46
2021-06-08,COVID19Certificates,CH,recovered,12,26,2021-09-23_09-56-46
2021-06-08,COVID19Certificates,CH,tested,6,8,2021-09-23_09-56-46
2021-06-08,COVID19Certificates,CH,vaccinated,3519,3768,2021-09-23_09-56-46
2021-06-09,COVID19Certificates,CH,all,19581,23383,2021-09-23_09-56-46
2021-06-09,COVID19Certificates,CH,recovered,11,37,2021-09-23_09-56-46
2021-06-09,COVID19Certificates,CH,tested,2,10,2021-09-23_09-56-46
2021-06-09,COVID19Certificates,CH,vaccinated,19568,23336,2021-09-23_09-56-46
2021-06-10,COVID19Certificates,CH,all,90845,114228,2021-09-23_09-56-46
2021-06-10,COVID19Certificates,CH,recovered,17,54,2021-09-23_09-56-46
2021-06-10,COVID19Certificates,CH,tested,8,18,2021-09-23_09-56-46
2021-06-10,COVID19Certificates,CH,vaccinated,90820,114156,2021-09-23_09-56-46
2021-06-11,COVID19Certificates,CH,all,142794,257022,2021-09-23_09-56-46
2021-06-11,COVID19Certificates,CH,recovered,22,76,2021-09-23_09-56-46
2021-06-11,COVID19Certificates,CH,tested,45,63,2021-09-23_09-56-46
2021-06-11,COVID19Certificates,CH,vaccinated,142727,256883,2021-09-23_09-56-46
2021-06-12,COVID19Certificates,CH,all,70566,327588,2021-09-23_09-56-46
2021-06-12,COVID19Certificates,CH,recovered,6,82,2021-09-23_09-56-46
2021-06-12,COVID19Certificates,CH,tested,3,66,2021-09-23_09-56-46
2021-06-12,COVID19Certificates,CH,vaccinated,70557,327440,2021-09-23_09-56-46
2021-06-13,COVID19Certificates,CH,all,121893,449481,2021-09-23_09-56-46
2021-06-13,COVID19Certificates,CH,recovered,39,121,2021-09-23_09-56-46
2021-06-13,COVID19Certificates,CH,tested,63,129,2021-09-23_09-56-46
2021-06-13,COVID19Certificates,CH,vaccinated,121791,449231,2021-09-23_09-56-46
2021-06-14,COVID19Certificates,CH,all,226536,676017,2021-09-23_09-56-46
2021-06-14,COVID19Certificates,CH,recovered,21140,21261,2021-09-23_09-56-46
2021-06-14,COVID19Certificates,CH,tested,70,199,2021-09-23_09-56-46
2021-06-14,COVID19Certificates,CH,vaccinated,205326,654557,2021-09-23_09-56-46
2021-06-15,COVID19Certificates,CH,all,286096,962113,2021-09-23_09-56-46
2021-06-15,COVID19Certificates,CH,recovered,6575,27836,2021-09-23_09-56-46
2021-06-15,COVID19Certificates,CH,tested,114,313,2021-09-23_09-56-46
2021-06-15,COVID19Certificates,CH,vaccinated,279407,933964,2021-09-23_09-56-46
2021-06-16,COVID19Certificates,CH,all,235318,1197431,2021-09-23_09-56-46
2021-06-16,COVID19Certificates,CH,recovered,3883,31719,2021-09-23_09-56-46
2021-06-16,COVID19Certificates,CH,tested,164,477,2021-09-23_09-56-46
2021-06-16,COVID19Certificates,CH,vaccinated,231271,1165235,2021-09-23_09-56-46
2021-06-17,COVID19Certificates,CH,all,128785,1326216,2021-09-23_09-56-46
2021-06-17,COVID19Certificates,CH,recovered,4274,35993,2021-09-23_09-56-46
2021-06-17,COVID19Certificates,CH,tested,368,845,2021-09-23_09-56-46
2021-06-17,COVID19Certificates,CH,vaccinated,124143,1289378,2021-09-23_09-56-46
2021-06-18,COVID19Certificates,CH,all,476930,1803146,2021-09-23_09-56-46
2021-06-18,COVID19Certificates,CH,recovered,5233,41226,2021-09-23_09-56-46
2021-06-18,COVID19Certificates,CH,tested,435,1280,2021-09-23_09-56-46
2021-06-18,COVID19Certificates,CH,vaccinated,471262,1760640,2021-09-23_09-56-46
2021-06-19,COVID19Certificates,CH,all,37306,1840452,2021-09-23_09-56-46
2021-06-19,COVID19Certificates,CH,recovered,1239,42465,2021-09-23_09-56-46
2021-06-19,COVID19Certificates,CH,tested,273,1553,2021-09-23_09-56-46
2021-06-19,COVID19Certificates,CH,vaccinated,35794,1796434,2021-09-23_09-56-46
2021-06-20,COVID19Certificates,CH,all,49400,1889852,2021-09-23_09-56-46
2021-06-20,COVID19Certificates,CH,recovered,1470,43935,2021-09-23_09-56-46
2021-06-20,COVID19Certificates,CH,tested,161,1714,2021-09-23_09-56-46
2021-06-20,COVID19Certificates,CH,vaccinated,47769,1844203,2021-09-23_09-56-46
2021-06-21,COVID19Certificates,CH,all,258680,2148532,2021-09-23_09-56-46
2021-06-21,COVID19Certificates,CH,recovered,3841,47776,2021-09-23_09-56-46
2021-06-21,COVID19Certificates,CH,tested,341,2055,2021-09-23_09-56-46
2021-06-21,COVID19Certificates,CH,vaccinated,254498,2098701,2021-09-23_09-56-46
2021-06-22,COVID19Certificates,CH,all,181743,2330275,2021-09-23_09-56-46
2021-06-22,COVID19Certificates,CH,recovered,4081,51857,2021-09-23_09-56-46
2021-06-22,COVID19Certificates,CH,tested,500,2555,2021-09-23_09-56-46
2021-06-22,COVID19Certificates,CH,vaccinated,177162,2275863,2021-09-23_09-56-46
2021-06-23,COVID19Certificates,CH,all,108960,2439235,2021-09-23_09-56-46
2021-06-23,COVID19Certificates,CH,recovered,5326,57183,2021-09-23_09-56-46
2021-06-23,COVID19Certificates,CH,tested,769,3324,2021-09-23_09-56-46
2021-06-23,COVID19Certificates,CH,vaccinated,102865,2378728,2021-09-23_09-56-46
2021-06-24,COVID19Certificates,CH,all,89943,2529178,2021-09-23_09-56-46
2021-06-24,COVID19Certificates,CH,recovered,5419,62602,2021-09-23_09-56-46
2021-06-24,COVID19Certificates,CH,tested,1390,4714,2021-09-23_09-56-46
2021-06-24,COVID19Certificates,CH,vaccinated,83134,2461862,2021-09-23_09-56-46
2021-06-25,COVID19Certificates,CH,all,138383,2667561,2021-09-23_09-56-46
2021-06-25,COVID19Certificates,CH,recovered,5282,67884,2021-09-23_09-56-46
2021-06-25,COVID19Certificates,CH,tested,5280,9994,2021-09-23_09-56-46
2021-06-25,COVID19Certificates,CH,vaccinated,127821,2589683,2021-09-23_09-56-46
2021-06-26,COVID19Certificates,CH,all,52079,2719640,2021-09-23_09-56-46
2021-06-26,COVID19Certificates,CH,recovered,1546,69430,2021-09-23_09-56-46
2021-06-26,COVID19Certificates,CH,tested,4903,14897,2021-09-23_09-56-46
2021-06-26,COVID19Certificates,CH,vaccinated,45630,2635313,2021-09-23_09-56-46
2021-06-27,COVID19Certificates,CH,all,33487,2753127,2021-09-23_09-56-46
2021-06-27,COVID19Certificates,CH,recovered,1621,71051,2021-09-23_09-56-46
2021-06-27,COVID19Certificates,CH,tested,1154,16051,2021-09-23_09-56-46
2021-06-27,COVID19Certificates,CH,vaccinated,30712,2666025,2021-09-23_09-56-46
2021-06-28,COVID19Certificates,CH,all,137425,2890552,2021-09-23_09-56-46
2021-06-28,COVID19Certificates,CH,recovered,2608,73659,2021-09-23_09-56-46
2021-06-28,COVID19Certificates,CH,tested,5272,21323,2021-09-23_09-56-46
2021-06-28,COVID19Certificates,CH,vaccinated,129545,2795570,2021-09-23_09-56-46
2021-06-29,COVID19Certificates,CH,all,100117,2990669,2021-09-23_09-56-46
2021-06-29,COVID19Certificates,CH,recovered,1959,75618,2021-09-23_09-56-46
2021-06-29,COVID19Certificates,CH,tested,5428,26751,2021-09-23_09-56-46
2021-06-29,COVID19Certificates,CH,vaccinated,92730,2888300,2021-09-23_09-56-46
2021-06-30,COVID19Certificates,CH,all,218685,3209354,2021-09-23_09-56-46
2021-06-30,COVID19Certificates,CH,recovered,2223,77841,2021-09-23_09-56-46
2021-06-30,COVID19Certificates,CH,tested,11122,37873,2021-09-23_09-56-46
2021-06-30,COVID19Certificates,CH,vaccinated,205340,3093640,2021-09-23_09-56-46
2021-07-01,COVID19Certificates,CH,all,144685,3354039,2021-09-23_09-56-46
2021-07-01,COVID19Certificates,CH,recovered,1928,79769,2021-09-23_09-56-46
2021-07-01,COVID19Certificates,CH,tested,22841,60714,2021-09-23_09-56-46
2021-07-01,COVID19Certificates,CH,vaccinated,119916,3213556,2021-09-23_09-56-46
2021-07-02,COVID19Certificates,CH,all,114038,3468077,2021-09-23_09-56-46
2021-07-02,COVID19Certificates,CH,recovered,2048,81817,2021-09-23_09-56-46
2021-07-02,COVID19Certificates,CH,tested,39449,100163,2021-09-23_09-56-46
2021-07-02,COVID19Certificates,CH,vaccinated,72541,3286097,2021-09-23_09-56-46
2021-07-03,COVID19Certificates,CH,all,78453,3546530,2021-09-23_09-56-46
