geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8929,0,NA,NA,8606033,0,0,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-09,NA,NA,NA,NA
CH,202010,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,8929,0,1,100,8606033,0.03,0.03,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-10,3,0.03,NA,NA
CH,202011,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,8929,0,1,100,8606033,0.29,0.33,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-11,22,0.26,733.3,0
CH,202012,99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127,8929,0,1,100,8606033,1.15,1.48,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-12,74,0.86,296,0
CH,202013,253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,380,8929,0,1,100,8606033,2.94,4.42,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-13,154,1.79,155.6,0
CH,202014,385,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,765,8929,0,1,100,8606033,4.47,8.89,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-14,132,1.53,52.2,0
CH,202015,343,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1108,8929,0,1,100,8606033,3.99,12.87,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-15,-42,-0.48,-10.9,0
CH,202016,241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1349,8929,0,1,100,8606033,2.8,15.68,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-16,-102,-1.19,-29.7,0
CH,202017,194,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1543,8929,0,1,100,8606033,2.25,17.93,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-17,-47,-0.55,-19.5,0
CH,202018,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1634,8929,0,1,100,8606033,1.06,18.99,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-18,-103,-1.19,-53.1,0
CH,202019,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1688,8929,0,1,100,8606033,0.63,19.61,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-19,-37,-0.43,-40.7,0
CH,202020,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1706,8929,0,1,100,8606033,0.21,19.82,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-20,-36,-0.42,-66.7,0
CH,202021,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1720,8929,0,1,100,8606033,0.16,19.99,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-21,-4,-0.05,-22.2,0
CH,202022,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1724,8929,0,1,100,8606033,0.05,20.03,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-22,-10,-0.11,-71.4,0
CH,202023,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1725,8929,0,1,100,8606033,0.01,20.04,COVID19Death,,2021-09-23_07-49-09,isoweek,2020-23,-3,-0.04,-75,0
