date,sex,entries,sumTotal,vaccine,geoRegion,type,type_variant,data_completeness,version
202104,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,male,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,female,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,male,1,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,female,1,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,male,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,female,0,1,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,male,1,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,female,1,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,male,2,4,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,female,2,4,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,male,1,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,female,1,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,male,1,6,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,female,0,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,male,2,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,female,0,5,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,male,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,female,1,6,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,male,2,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,female,0,6,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,female,2,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,male,0,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,male,1,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,male,0,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,female,0,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202129,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,male,0,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,female,1,9,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202130,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,male,0,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,female,0,9,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202131,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,male,1,12,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,female,2,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202132,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,male,3,15,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,female,4,15,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202133,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,male,1,16,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,female,1,16,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202134,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,male,3,19,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,female,3,19,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202135,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,male,3,22,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,female,7,26,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202136,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,male,5,27,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,female,3,29,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202137,unknown,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202104,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202105,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202106,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202107,all,0,0,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202108,all,2,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202109,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202110,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202111,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202112,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202113,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202114,all,0,2,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202115,all,2,4,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202116,all,4,8,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202117,all,2,10,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202118,all,1,11,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202119,all,2,13,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202120,all,1,14,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202121,all,2,16,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202122,all,2,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202123,all,0,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202124,all,0,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202125,all,0,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202126,all,0,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202127,all,0,18,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
202128,all,1,19,all,CHFL,COVID19Cases,sex,limited,2021-09-23_07-57-56
