sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,12926,0,0.5,50,4268863,0.61,0.61,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,9476,0,0.5,50,4337170,0.6,0.6,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,58,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,12926,0,0.523,52.300000000000004,4268863,1.36,1.97,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-10,32,0.75,123.1,2.3000000000000043
female,CH,202010,53,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,9476,0,0.477,47.699999999999996,4337170,1.22,1.82,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-10,27,0.62,103.8,-2.3000000000000043
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-10,0,NA,NA,0
male,CH,202011,198,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282,12926,0,0.566,56.599999999999994,4268863,4.64,6.61,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-11,140,3.28,241.4,4.29999999999999
female,CH,202011,152,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,231,9476,0,0.434,43.4,4337170,3.5,5.33,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-11,99,2.28,186.8,-4.299999999999997
unknown,CH,202011,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-11,0,NA,NA,0
male,CH,202012,514,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,796,12926,0,0.613,61.3,4268863,12.04,18.65,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-12,316,7.4,159.6,4.700000000000003
female,CH,202012,324,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,555,9476,0,0.387,38.7,4337170,7.47,12.8,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-12,172,3.97,113.2,-4.699999999999996
unknown,CH,202012,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-12,0,NA,NA,0
male,CH,202013,736,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1532,12926,0,0.63,63,4268863,17.24,35.89,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-13,222,5.2,43.2,1.7000000000000028
female,CH,202013,432,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,987,9476,0,0.37,37,4337170,9.96,22.76,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-13,108,2.49,33.3,-1.7000000000000028
unknown,CH,202013,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-13,0,NA,NA,0
male,CH,202014,423,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1955,12926,0,0.63,63,4268863,9.91,45.8,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-14,-313,-7.33,-42.5,0
female,CH,202014,247,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1234,9476,0,0.368,36.8,4337170,5.69,28.45,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-14,-185,-4.27,-42.8,-0.20000000000000284
unknown,CH,202014,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0.001,0.1,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-14,1,NA,NA,0.1
male,CH,202015,226,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2181,12926,0,0.606,60.6,4268863,5.29,51.09,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-15,-197,-4.62,-46.6,-2.3999999999999986
female,CH,202015,147,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1381,9476,0,0.394,39.4,4337170,3.39,31.84,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-15,-100,-2.3,-40.5,2.6000000000000014
unknown,CH,202015,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-15,-1,NA,-100,-0.1
male,CH,202016,129,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2310,12926,0,0.576,57.599999999999994,4268863,3.02,54.11,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-16,-97,-2.27,-42.9,-3.000000000000007
female,CH,202016,95,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1476,9476,0,0.424,42.4,4337170,2.19,34.03,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-16,-52,-1.2,-35.4,3
unknown,CH,202016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-16,0,NA,NA,0
male,CH,202017,62,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2372,12926,0,0.579,57.9,4268863,1.45,55.57,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-17,-67,-1.57,-51.9,0.30000000000000426
female,CH,202017,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1521,9476,0,0.421,42.1,4337170,1.04,35.07,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-17,-50,-1.15,-52.6,-0.29999999999999716
unknown,CH,202017,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-17,0,NA,NA,0
male,CH,202018,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2404,12926,0,0.492,49.2,4268863,0.75,56.31,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-18,-30,-0.7,-48.4,-8.699999999999996
female,CH,202018,33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1554,9476,0,0.508,50.8,4337170,0.76,35.83,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-18,-12,-0.28,-26.7,8.699999999999996
unknown,CH,202018,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-18,0,NA,NA,0
male,CH,202019,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2421,12926,0,0.548,54.800000000000004,4268863,0.4,56.71,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-19,-15,-0.35,-46.9,5.600000000000001
female,CH,202019,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1568,9476,0,0.452,45.2,4337170,0.32,36.15,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-19,-19,-0.44,-57.6,-5.599999999999994
unknown,CH,202019,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-19,0,NA,NA,0
male,CH,202020,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2434,12926,0,0.52,52,4268863,0.3,57.02,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-20,-4,-0.1,-23.5,-2.8000000000000043
female,CH,202020,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1580,9476,0,0.48,48,4337170,0.28,36.43,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-20,-2,-0.04,-14.3,2.799999999999997
unknown,CH,202020,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-20,0,NA,NA,0
male,CH,202021,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2439,12926,0,0.333,33.300000000000004,4268863,0.12,57.13,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-21,-8,-0.18,-61.5,-18.699999999999996
female,CH,202021,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1590,9476,0,0.667,66.7,4337170,0.23,36.66,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-21,-2,-0.05,-16.7,18.700000000000003
unknown,CH,202021,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-09-23_07-49-09,isoweek,2020-21,0,NA,NA,0
