geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,22403,0,1,100,8606033,0.6,0.6,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-09,NA,NA,NA,NA
CH,202010,111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,163,22403,0,1,100,8606033,1.29,1.89,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-10,59,0.69,113.5,0
CH,202011,350,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,513,22403,0,1,100,8606033,4.07,5.96,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-11,239,2.78,215.3,0
CH,202012,838,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1351,22403,0,1,100,8606033,9.74,15.7,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-12,488,5.67,139.4,0
CH,202013,1168,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2519,22403,0,1,100,8606033,13.57,29.27,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-13,330,3.83,39.4,0
CH,202014,671,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3190,22403,0,1,100,8606033,7.8,37.07,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-14,-497,-5.77,-42.6,0
CH,202015,373,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3563,22403,0,1,100,8606033,4.33,41.4,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-15,-298,-3.47,-44.4,0
CH,202016,224,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3787,22403,0,1,100,8606033,2.6,44,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-16,-149,-1.73,-39.9,0
CH,202017,107,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3894,22403,0,1,100,8606033,1.24,45.25,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-17,-117,-1.36,-52.2,0
CH,202018,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3959,22403,0,1,100,8606033,0.76,46,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-18,-42,-0.48,-39.3,0
CH,202019,31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3990,22403,0,1,100,8606033,0.36,46.36,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-19,-34,-0.4,-52.3,0
CH,202020,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4015,22403,0,1,100,8606033,0.29,46.65,COVID19Hosp,,2021-09-23_07-49-09,isoweek,2020-20,-6,-0.07,-19.4,0
