date,entries,sumTotal,vaccine,geoRegion,type,type_variant,data_completeness,version
2021-01-27,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-28,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-29,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-30,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-31,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-01,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-02,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-03,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-04,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-05,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-06,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-07,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-08,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-09,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-10,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-11,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-12,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-13,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-14,1,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-15,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-16,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-17,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-18,1,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-19,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-20,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-21,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-22,1,3,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-23,1,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-24,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-25,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-26,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-27,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-28,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-01,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-02,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-03,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-04,1,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-05,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-06,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-07,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-08,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-09,1,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-10,1,7,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-11,0,7,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-12,1,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-13,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-14,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-15,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-16,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-17,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-18,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-19,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-20,1,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-21,1,10,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-22,1,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-23,1,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-24,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-25,1,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-26,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-27,1,14,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-28,0,14,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-29,2,16,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-30,0,16,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-31,1,17,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-01,2,19,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-02,1,20,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-03,1,21,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-04,0,21,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-05,1,22,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-06,0,22,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-07,1,23,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-08,1,24,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-09,1,25,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-10,0,25,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-11,1,26,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-12,1,27,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-13,1,28,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-14,1,29,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-15,2,31,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-16,1,32,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-17,1,33,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-18,1,34,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-19,3,37,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-20,0,37,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-21,0,37,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-22,0,37,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-23,2,39,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-24,0,39,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-25,0,39,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-26,2,41,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-27,1,42,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-28,1,43,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-29,1,44,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-30,1,45,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-01,1,46,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-02,0,46,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-03,0,46,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-04,0,46,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-05,1,47,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-06,1,48,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-07,1,49,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-08,0,49,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-09,2,51,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-10,0,51,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-11,1,52,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-12,0,52,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-13,1,53,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-14,0,53,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-15,0,53,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-16,2,55,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-17,0,55,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-18,0,55,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-19,1,56,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-20,0,56,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-21,1,57,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-22,0,57,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-23,0,57,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-24,1,58,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-25,1,59,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-26,0,59,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-27,1,60,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-28,2,62,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-29,0,62,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-30,2,64,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-31,1,65,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
