date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-25,AG,0,685845,0,0,0,0,14.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-26,AG,0,685845,0,0,0,0,24.14,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-27,AG,0,685845,0,0,0,0,34.57,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-28,AG,100,685845,100,0.01,0,0.01,34.57,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-29,AG,69,685845,169,0.01,0,0.02,34.71,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-30,AG,73,685845,242,0.01,0,0.04,34.86,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2020-12-31,AG,0,685845,242,0,0,0.04,34.86,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-01,AG,1,685845,243,0,0,0.04,20.71,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-02,AG,1,685845,244,0,0.01,0.04,76.14,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-03,AG,0,685845,244,0,0.02,0.04,133.57,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-04,AG,1,685845,245,0,0.04,0.04,237,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-05,AG,457,685845,702,0.07,0.05,0.1,329.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-06,AG,475,685845,1177,0.07,0.05,0.17,360.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-07,AG,724,685845,1901,0.11,0.05,0.28,360.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-08,AG,647,685845,2548,0.09,0.06,0.37,430.71,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-09,AG,218,685845,2766,0.03,0.07,0.4,484.14,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-10,AG,0,685845,2766,0,0.07,0.4,517.14,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-11,AG,494,685845,3260,0.07,0.07,0.48,513.43,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
2021-01-12,AG,831,685845,4091,0.12,0.07,0.6,498.57,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
