date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202053,AG,age,2,indication,685845,2,NA,0.008,0.8,0.8,0,0,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202101,AG,age,1649,indication,685845,1651,NA,0.654,65.4,59.699999999999996,0.24,0.24,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202102,AG,age,2090,indication,685845,3741,NA,0.598,59.8,59.8,0.3,0.55,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202103,AG,age,3922,indication,685845,7663,NA,0.636,63.6,61.6,0.57,1.12,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202104,AG,age,3411,indication,685845,11074,NA,0.539,53.900000000000006,59,0.5,1.61,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202105,AG,age,4477,indication,685845,15551,NA,0.517,51.7,56.699999999999996,0.65,2.27,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202106,AG,age,3327,indication,685845,18878,NA,0.432,43.2,53.7,0.49,2.75,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202107,AG,age,5693,indication,685845,24571,NA,0.512,51.2,53.1,0.83,3.58,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202108,AG,age,8111,indication,685845,32682,NA,0.545,54.50000000000001,53.5,1.18,4.77,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202109,AG,age,7116,indication,685845,39798,NA,0.518,51.800000000000004,53.2,1.04,5.8,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202110,AG,age,5734,indication,685845,45532,NA,0.422,42.199999999999996,51.5,0.84,6.64,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202111,AG,age,3485,indication,685845,49017,NA,0.33,33,49.5,0.51,7.15,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202112,AG,age,6847,indication,685845,55864,NA,0.417,41.699999999999996,48.4,1,8.15,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202113,AG,age,5083,indication,685845,60947,NA,0.324,32.4,46.5,0.74,8.89,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202114,AG,age,6636,indication,685845,67583,NA,0.318,31.8,44.5,0.97,9.85,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202115,AG,age,4075,indication,685845,71658,NA,0.162,16.2,40.400000000000006,0.59,10.45,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202116,AG,age,3525,indication,685845,75183,NA,0.118,11.799999999999999,36.3,0.51,10.96,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202117,AG,age,2248,indication,685845,77431,NA,0.09,9,33.4,0.33,11.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202118,AG,age,4601,indication,685845,82032,NA,0.133,13.3,30.8,0.67,11.96,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202119,AG,age,3346,indication,685845,85378,NA,0.102,10.2,28.499999999999996,0.49,12.45,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202120,AG,age,2913,indication,685845,88291,NA,0.076,7.6,26.1,0.42,12.87,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202121,AG,age,2011,indication,685845,90302,NA,0.049,4.9,23.799999999999997,0.29,13.17,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202122,AG,age,3150,indication,685845,93452,NA,0.061,6.1,21.7,0.46,13.63,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202123,AG,age,2367,indication,685845,95819,NA,0.048,4.8,20,0.35,13.97,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202124,AG,age,1939,indication,685845,97758,NA,0.046,4.6,18.7,0.28,14.25,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202125,AG,age,1686,indication,685845,99444,NA,0.047,4.7,17.8,0.25,14.5,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202126,AG,age,1793,indication,685845,101237,NA,0.051,5.1,17.1,0.26,14.76,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202127,AG,age,1576,indication,685845,102813,NA,0.044,4.3999999999999995,16.400000000000002,0.23,14.99,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202128,AG,age,1162,indication,685845,103975,NA,0.039,3.9,15.8,0.17,15.16,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202129,AG,age,1128,indication,685845,105103,NA,0.059,5.8999999999999995,15.5,0.16,15.32,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202130,AG,age,1063,indication,685845,106166,NA,0.072,7.199999999999999,15.299999999999999,0.15,15.48,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202131,AG,age,1120,indication,685845,107286,NA,0.088,8.799999999999999,15.2,0.16,15.64,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202132,AG,age,1435,indication,685845,108721,NA,0.128,12.8,15.2,0.21,15.85,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202133,AG,age,1454,indication,685845,110175,NA,0.12,12,15.1,0.21,16.06,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202134,AG,age,1549,indication,685845,111724,NA,0.104,10.4,15,0.23,16.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202135,AG,age,1401,indication,685845,113125,NA,0.095,9.5,14.899999999999999,0.2,16.49,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202136,AG,age,1439,indication,685845,114564,NA,0.084,8.4,14.799999999999999,0.21,16.7,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202137,AG,age,1840,indication,685845,116404,NA,0.096,9.6,14.7,0.27,16.97,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
