date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202053,AG,vaccination_centre,243,location,685845,243,NA,0.996,99.6,99.6,0.04,0.04,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202101,AG,vaccination_centre,2278,location,685845,2521,NA,0.903,90.3,91.10000000000001,0.33,0.37,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202102,AG,vaccination_centre,2774,location,685845,5295,NA,0.794,79.4,84.6,0.4,0.77,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202103,AG,vaccination_centre,4739,location,685845,10034,NA,0.768,76.8,80.7,0.69,1.46,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202104,AG,vaccination_centre,4027,location,685845,14061,NA,0.636,63.6,75,0.59,2.05,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202105,AG,vaccination_centre,5207,location,685845,19268,NA,0.601,60.099999999999994,70.3,0.76,2.81,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202106,AG,vaccination_centre,6327,location,685845,25595,NA,0.821,82.1,72.89999999999999,0.92,3.73,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202107,AG,vaccination_centre,9699,location,685845,35294,NA,0.873,87.3,76.3,1.41,5.15,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202108,AG,vaccination_centre,11765,location,685845,47059,NA,0.79,79,77,1.72,6.86,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202109,AG,vaccination_centre,10740,location,685845,57799,NA,0.782,78.2,77.2,1.57,8.43,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202110,AG,vaccination_centre,11996,location,685845,69795,NA,0.882,88.2,78.9,1.75,10.18,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202111,AG,vaccination_centre,10295,location,685845,80090,NA,0.975,97.5,80.9,1.5,11.68,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202112,AG,vaccination_centre,16164,location,685845,96254,NA,0.985,98.5,83.39999999999999,2.36,14.03,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202113,AG,vaccination_centre,15444,location,685845,111698,NA,0.984,98.4,85.2,2.25,16.29,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202114,AG,vaccination_centre,19498,location,685845,131196,NA,0.935,93.5,86.3,2.84,19.13,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202115,AG,vaccination_centre,24039,location,685845,155235,NA,0.955,95.5,87.6,3.51,22.63,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202116,AG,vaccination_centre,27375,location,685845,182610,NA,0.916,91.60000000000001,88.2,3.99,26.63,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202117,AG,vaccination_centre,23243,location,685845,205853,NA,0.932,93.2,88.7,3.39,30.01,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202118,AG,vaccination_centre,29584,location,685845,235437,NA,0.853,85.3,88.3,4.31,34.33,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202119,AG,vaccination_centre,27873,location,685845,263310,NA,0.853,85.3,87.9,4.06,38.39,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202120,AG,vaccination_centre,30026,location,685845,293336,NA,0.779,77.9,86.8,4.38,42.77,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202121,AG,vaccination_centre,33252,location,685845,326588,NA,0.813,81.3,86.2,4.85,47.62,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202122,AG,vaccination_centre,44108,location,685845,370696,NA,0.86,86,86.2,6.43,54.05,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202123,AG,vaccination_centre,43751,location,685845,414447,NA,0.879,87.9,86.4,6.38,60.43,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202124,AG,vaccination_centre,35652,location,685845,450099,NA,0.843,84.3,86.2,5.2,65.63,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202125,AG,vaccination_centre,29355,location,685845,479454,NA,0.817,81.69999999999999,85.9,4.28,69.91,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202126,AG,vaccination_centre,29811,location,685845,509265,NA,0.853,85.3,85.9,4.35,74.25,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202127,AG,vaccination_centre,32668,location,685845,541933,NA,0.914,91.4,86.2,4.76,79.02,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202128,AG,vaccination_centre,27661,location,685845,569594,NA,0.939,93.89999999999999,86.5,4.03,83.05,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202129,AG,vaccination_centre,17404,location,685845,586998,NA,0.911,91.10000000000001,86.7,2.54,85.59,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202130,AG,vaccination_centre,13269,location,685845,600267,NA,0.903,90.3,86.7,1.93,87.52,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202131,AG,vaccination_centre,11034,location,685845,611301,NA,0.862,86.2,86.7,1.61,89.13,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202132,AG,vaccination_centre,9439,location,685845,620740,NA,0.844,84.39999999999999,86.7,1.38,90.51,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202133,AG,vaccination_centre,10284,location,685845,631024,NA,0.852,85.2,86.7,1.5,92.01,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202134,AG,vaccination_centre,12940,location,685845,643964,NA,0.865,86.5,86.7,1.89,93.89,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202135,AG,vaccination_centre,12696,location,685845,656660,NA,0.863,86.3,86.7,1.85,95.74,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202136,AG,vaccination_centre,15137,location,685845,671797,NA,0.881,88.1,86.7,2.21,97.95,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202137,AG,vaccination_centre,16448,location,685845,688245,NA,0.856,85.6,86.7,2.4,100.35,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202052,AG,nursing_home,0,location,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202053,AG,nursing_home,0,location,685845,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202101,AG,nursing_home,242,location,685845,242,NA,0.096,9.6,8.7,0.04,0.04,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202102,AG,nursing_home,720,location,685845,962,NA,0.206,20.599999999999998,15.4,0.1,0.14,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202103,AG,nursing_home,1423,location,685845,2385,NA,0.231,23.1,19.2,0.21,0.35,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202104,AG,nursing_home,2295,location,685845,4680,NA,0.363,36.3,24.9,0.33,0.68,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202105,AG,nursing_home,3440,location,685845,8120,NA,0.397,39.7,29.599999999999998,0.5,1.18,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202106,AG,nursing_home,1376,location,685845,9496,NA,0.179,17.9,27,0.2,1.38,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202107,AG,nursing_home,1385,location,685845,10881,NA,0.125,12.5,23.5,0.2,1.59,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202108,AG,nursing_home,3116,location,685845,13997,NA,0.209,20.9,22.900000000000002,0.45,2.04,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202109,AG,nursing_home,2952,location,685845,16949,NA,0.215,21.5,22.6,0.43,2.47,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
202110,AG,nursing_home,1581,location,685845,18530,NA,0.116,11.600000000000001,20.9,0.23,2.7,COVID19VaccDosesAdministered,2021-09-23_10-29-58,detailed
