date,vaccine,sumTotal,geoRegion,pop,per100PersonsTotal,type,type_variant,version
2021-01-24,moderna,182800,CHFL,8644780,2.11,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-25,moderna,182800,CHFL,8644780,2.11,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-26,moderna,182800,CHFL,8644780,2.11,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-27,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-28,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-29,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-30,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-01-31,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-01,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-02,moderna,198800,CHFL,8644780,2.3,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-03,moderna,199300,CHFL,8644780,2.31,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-04,moderna,199300,CHFL,8644780,2.31,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-05,moderna,199300,CHFL,8644780,2.31,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-06,moderna,199300,CHFL,8644780,2.31,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-07,moderna,353500,CHFL,8644780,4.09,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-08,moderna,353500,CHFL,8644780,4.09,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-09,moderna,353500,CHFL,8644780,4.09,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-10,moderna,422500,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-11,moderna,422500,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-12,moderna,422500,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-13,moderna,422500,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-14,moderna,422900,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-15,moderna,422900,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-16,moderna,422900,CHFL,8644780,4.89,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-17,moderna,438400,CHFL,8644780,5.07,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-18,moderna,438400,CHFL,8644780,5.07,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-19,moderna,438400,CHFL,8644780,5.07,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
2021-02-20,moderna,438400,CHFL,8644780,5.07,COVID19VaccDosesDelivered,vaccine,2021-09-19_16-00-00
